name,servings,ingredients,directions,type,calories,cholesterol,fat,carbohydrates,fiber,sugars,protein,calcium,iron,vitamin_a,vitamin_c,vitamin_d,folate
Pasta Salad with Herb Vinaigrette,6 Servings,"['6 ounces uncooked whole wheat pasta, cooked, drained', '1 cup chopped fresh broccoli', '3/4 cup chopped tomato', '1/2 cup Shredded carrot', '6 hard cooked eggs (cut into wedges)']","['Whisk dressing ingredients in small bowl until blended.', 'Combine pasta, broccoli, tomato and carrot in large bowl; toss. Pour dressing over pasta mixture; toss until evenly coated. Add eggs; toss briefly.', 'Refrigerate, covered, at least 4 hours to blend flavors.']",Salads,220,185 mg,10 g,25 g,4 g,1 g,11 g,64 mg,3 mg,165 mcg RAE,15 mg,1 mcg,42 mcg DFE
Pineapple Avocado Chicken Salad,4 Servings,"['1 avocado (divided)', '2 tablespoons non-fat plain Greek yogurt', '1 tablespoon rice vinegar', '1/4 teaspoon salt', '1/8 teaspoon black pepper']","['Mash ½ avocado in a small dish; add yogurt, rice vinegar, salt and pepper.', 'Cut remaining avocado into small chunks and mix together with pineapple, bell pepper, carrots, cabbage, green onion and chicken.', 'Add dressing; mix gently.', 'Fill pita pockets and serve.']",Salads,437,57 mg,10 g,60 g,11 g,8 g,31 g,51 mg,4 mg,189 mcg RAE,80 mg,0 mcg,95 mcg DFE
Pink Party Salad,6 servings,"['4 potatoes (washed and cut in half)', '3 cups beets, cooked (peeled and diced)', '1 cup peas, green, fresh or frozen', '3 eggs, hard boiled', '1 apple', '1 teaspoon lemon juice', '2 tablespoons olive oil', '3 tablespoons vinegar', '1 tablespoon sugar']","['1. Boil the potatoes in 2 cups of water in a deep kettle. Cover and cook over moderate heat for about 20 minutes, until the potatoes are tender.', '2. When thoroughly cool, dice potatoes and place in a big bowl.', '3. Add diced beets and mix with the potatoes.', '4. Set aside 1/4 cup of peas for garnishing and add the rest to the bowl.', '5. Save 1 egg to use as a garnish. Chop the rest and add to the bowl.', '6. Peel the skin off the apple and remove the core. Cut the apple into small pieces, place in a small bowl and sprinkle with lemon juice. Add apple to the salad.', '7. Add the vinegar, olive oil and sugar.', '8. Mix thoroughly. Chill and serve.']",Salads,255,93 mg,7 g,41 g,7 g,12 g,8 g,47 mg,2 mg,62 mcg RAE,35 mg,0 mcg,123 mcg DFE
Potato Salad,6 servings,"['1 pound potatoes (4 medium potatoes)', '1 cup onion (diced)', '1/2 cup celery (chopped)', '1/2 cup mayonnaise, low-fat', '1/4 cup sweet pickle relish']","['Scrub the potatoes, and peel them.', 'Cut the potatoes into 1-inch cubes.', 'Put the potatoes into a saucepan. Cover with water.', 'Bring the potatoes to a boil on medium heat.', 'Let the potatoes simmer for 15 minutes until they’re soft.', 'Drain the hot water, and let the potatoes cool.', 'While the potatoes are cooling, peel and chop some onions until you have 1 cup of chopped onions.', 'Chop the celery until you have ½ cup of chopped celery.', 'Put the chopped onion and celery in a medium mixing bowl.', 'Add the mayonnaise and pickle relish. Stir together.', 'Add the cooled potatoes. Stir again.', 'Cover the bowl. Put in the fridge for at least 2 hours before serving.']",Salads,122,6 mg,8 g,13 g,1 g,5 g,1 g,14 mg,0 mg,10 mcg RAE,9 mg,0 mcg,14 mcg DFE
Potato Salad,4 Servings,"['15 new potatoes (scrubbed and quartered)', '2 tablespoons plain nonfat Greek yogurt', '2 tablespoons vegetable oil', '6 teaspoons yellow mustard (or Dijon mustard)', '3 celery stalks (chopped)', '2 scallions (whites and greens chopped)', '1/2 cup fresh parsley leaves (chopped)']","['Put potatoes in a pot and cover with cold water. ', 'Bring to a boil over high heat and cook about 15 minutes, until potatoes are tender.', 'Drain and set aside to cool to room temperature.', 'While potatoes are cooling, mix the yogurt, olive oil, and mustard in a small bowl.', 'Add the yogurt mixture to the cooled potatoes and gently mix. ', 'Stir in the celery, scallions, and parsley.', 'Serve right away or cover and refrigerate up to 2 days.']",Salads,210,0 mg,7 g,33 g,5 g,3 g,5 g,66 mg,2 mg,44 mcg RAE,47 mg,0 mcg,51 mcg DFE
Quick 'N Cool Summer Salad,8 servings,"['14 ounces elbow macaroni', '1 can green beans (16 ounce, drained, or other vegetable)', '1 can tuna packed in water (6.5 ounces, drained and flaked)', '1 cup cheese (diced)', '1/2 cup sweet pickles (diced)', '1/2 cup onion (diced)', '1 cup yogurt, plain', '1/2 cup mayonnaise, light', '1 1/2 tablespoons lemon juice', '1/4 teaspoon salt', '1/4 teaspoon seasoned pepper']","['Wash hands with soap and water.', 'Prepare elbow macaroni according to package directions and drain.', 'Add vegetables, tuna, onions, cheese, and pickles.', 'Mix yogurt, salad dressing, lemon juice, salt and seasoned pepper.', 'Toss with macaroni mixture.', 'Chill before serving.', 'Refrigerate leftovers promptly.']",Salads,374,27 mg,10 g,51 g,4 g,7 g,18 g,201 mg,3 mg,60 mcg RAE,3 mg,0 mcg,187 mcg DFE
Quick and Easy Baked Potato Salad,4 Servings,"['1 1/2 pounds red potatoes', '1 cup non-fat plain yogurt', '1/3 cup minced onion', '1/2 cup shredded reduced fat cheddar cheese', '4 tablespoons snipped fresh chives', '3 tablespoons real bacon bits or pieces', '1/4 teaspoon salt', 'Freshly ground pepper to taste', 'chopped fresh parsley (optional)']","['Place whole potatoes (do not poke) into microwave-safe dish.', 'Cover dish. (If covering dish with plastic wrap, poke small hole in plastic).', 'Microwave on high for 10 to 12 minutes depending on strength of microwave.', 'Use oven mitts or a towel to remove dish from microwave; carefully remove cover from dish due to steam build up and let cool.', 'Cut potatoes into bite-sized pieces and place in a large bowel with remaining ingredients; stir and mix well.']",Salads,200,13 mg,4 g,34 g,3 g,6 g,11 g,250 mg,1 mg,39 mcg RAE,21 mg,0 mcg,62 mcg DFE
Quick Black Bean Salad,6 Servings,"['1 can black beans (15 ounces)', '1 1/2 10-ounce packages frozen corn', '1/2 cup salsa']","['1. Leave frozen corn in the fridge overnight to defrost. If you forget to do this ahead of time, defrost it in the microwaves.', '2. Drain and rinse the black beans.', '3. Combine all ingredients together and serve as a side dish.']",Salads,152,0 mg,1 g,32 g,8 g,3 g,8 g,45 mg,2 mg,5 mcg RAE,4 mg,0 mcg,86 mcg DFE
Quinoa and Black Bean Salad,6 servings,"['1/2 cup quinoa (dry)', '1 1/2 cups water', '1 1/2 tablespoons olive oil', '3 teaspoons lime juice', '1/4 teaspoon cumin', '1/4 teaspoon coriander (ground, dried cilantro seeds)', '2 tablespoons cilantro (chopped)', '2 scallions (medium, minced)', '1 can black beans (15.5 ounce can, rinsed and drained)', '2 cups tomato (chopped)', '1 red bell pepper (medium, chopped)', '1 green bell pepper (medium, chopped)', '2 green chiles (minced, to taste)', 'black pepper (to taste)']","['Wash hands with soap and water.', 'Rinse the quinoa in cold water. Boil water in a saucepan, and then add the quinoa.', 'Return to boil, and then simmer until the water is absorbed, 10 to 15 minutes. Cool for 15 minutes.', 'While quinoa is cooking, mix olive oil, lime juice, cumin, coriander, chopped cilantro, and scallions in a small bowl, and set aside.', 'Combine chopped vegetables with the black beans in a large bowl, and set aside.', 'Once quinoa has cooled, combine all ingredients and mix well.', 'Cover and refrigerate until ready to serve.']",Salads,199,0 mg,5 g,32 g,9 g,4 g,9 g,64 mg,3 mg,64 mcg RAE,51 mg,0 mcg,105 mcg DFE
Rainbow Veggie Salad,10 servings,"['1 can red kidney beans (15.5 ounces, drained and rinsed)', '1 can black beans (15.5 ounces, drained and rinsed)', '3 carrot (scrubbed and sliced)', '1 yellow squash (medium, washed and sliced)', '1 zucchini (medium, washed and sliced)', '1/2 cup light Italian dressing', '1/2 teaspoon pepper']","['1. Mix all the vegetables together in a large bowl.', '2. Pour dressing over vegetables.', '3. Sprinkle with pepper.', '4. Stir gently, coating all vegetables.', '5. Cover and refrigerate at least 8 hours.']",Salads,132,0 mg,1 g,25 g,8 g,3 g,8 g,53 mg,3 mg,157 mcg RAE,8 mg,0 mcg,110 mcg DFE
Red Potato Salad,4 Servings,"['1 cup yogurt, plain fat-free', '1/4 cup mayonnaise, low-fat', '1 tablespoon yellow mustard', '4 medium red potatoes (about 1 pound)', '1/2 cup celery, chopped', '1/4 cup onion, finely chopped', '1/2 teaspoon salt', '1/4 teaspoon pepper']","['To prepare sauce, combine yogurt, mayonnaise and mustard in a small bowl. Mix well and refrigerate.', 'Wash potatoes and place in pot. Cover with water about 1 inch above potatoes.', 'Bring water and potatoes to a boil and simmer until potatoes are fork tender.', 'Drain potatoes and set aside to cool.', 'When potatoes are cooled, cut into bite-sized cubes. Place cut potatoes into large bowl.', 'Add celery, onions, salt, and pepper to potatoes. Top with sauce and mix well.', 'Garnish with parsley and enjoy.']",Salads,236,1 mg,5 g,41 g,4 g,9 g,8 g,151 mg,2 mg,4 mcg RAE,20 mg,0 mcg,52 mcg DFE
Roasted Chickpeas (Garbanzo Beans),4 Servings,"['1 can (16 oz) garbanzo beans (drained and rinsed)', '1 tablespoon canola oil', '1/8 teaspoon salt', 'spices of your choice (try garlic, paprika, sage, etc.)']","['1. Preheat oven to 400 degrees F.', '2. Drain and rinse the beans until there is no foamy residue. Pick out the skins and discard. Wrap the drained beans in a clean towel to dry thoroughly.', '3. Measure oil into a 9 x 13 baking dish or foil lined pan. Pour beans into dish, sprinkle with salt and spices. Mix oil and spices well to coat all the beans.', '4. Bake for 45-60 minutes, stirring or shaking every 15 minutes. Longer makes more crunch, but watch to prevent burning!']",Salads,161,0 mg,6 g,22 g,6 g,4 g,7 g,35 mg,2 mg,1 mcg RAE,1 mg,0 mcg,70 mcg DFE
Sanchico Tuna Salad,4 Servings,"['1 can chunk light tuna (in water, 6.5 ounce can)', '1 cup Roma tomatoes (diced)', '1/4 cup red onions (diced)', '1 large avocado (diced)', '2 teaspoons lime juice', '1 teaspoon crushed red pepper', '1/4 teaspoon salt', '1/2 large mango (firm)']","['Drain tuna. Transfer to a mixing bowl and mix well with avocado for texture.', 'Add tomatoes, onion, pepper, lime juice, salt, mango.']",Salads,120,15 mg,6 g,10 g,4 g,5 g,10 g,22 mg,1 mg,52 mcg RAE,21 mg,1 mcg,50 mcg DFE
Shrimp Confetti Salad Sandwich with Grapes,4 Servings,"['1/2 pound frozen cooked cocktail shrimp (thawed, peeled, and deveined)', '1 8-oz can yellow corn kernels (no salt added, drained)', '1 cup canned black beans (no salt added, drained and rinsed)', '1 stalk celery (diced)', '2 tablespoons chopped onion', '2 tablespoons reduced-fat mayonnaise', '1/2 tablespoon salt-free Caribbean citrus seasoning', '8 slices whole-grain bread', '2 tomatoes (sliced)', '4 leaves Bibb lettuce or other leaf lettuce']","['Chop shrimp coarsely.', 'Mix together shrimp salad ingredients (everything except for the bread, tomato slices, and lettuce).', 'Divide salad evenly among 4 slices of bread; spread to edges of bread.', 'Top with tomato slices, lettuce, and second bread slice.']",Salads,330,115 mg,6 g,43 g,8 g,7 g,27 g,150 mg,4 mg,82 mcg RAE,12 mg,0 mcg,92 mcg DFE
Simply Satisfying Kale and Tuna Salad,4 Servings,"['2 cans tuna (2-5 oz. cans)', '1 bunch kale (or 1 bag)', '2 ounces cherry tomatoes', '1 lemon, raw', '1/4 cup extra virgin olive oil', '1/8 cup balsamic vinegar', 'kosher salt (to taste)', 'freshly ground pepper (to taste)']","['Wash kale. Set aside to drain water off.', 'Cut tomatoes in half and lightly toss in bowl with balsamic vinegar, oil and pinch of salt and pepper. Set aside.', 'In a salad bowl, mix tuna and juice from the can gently with squeeze of 1/2 lemon and a pinch of pepper.', 'Massage kale for about 3 minutes to soften it.', 'Add the kale and 1/2 the tomatoes to the tuna, and gently toss until all is coated with dressing.', 'Add remaining tomatoes.', 'Squeeze remaining lemon all over and serve.']",Salads,278,30 mg,16 g,16 g,3 g,3 g,22 g,,,690 mcg RAE,170 mg,1 mcg,49 mcg DFE
Snappy Cole Slaw,4 servings,"['2 cups cabbage (shredded)', '1/4 cup cider vinegar', '1/4 cup water', '2 tablespoons sugar', '1/2 teaspoon mustard', '1/4 teaspoon black pepper']","['1. Wash and shred the cabbage with a knife or grater. Put in a mixing bowl.\n2. Bring the vinegar and water to a boil in the saucepan. Remove from heat and add other ingredients except cabbage to the saucepan.\n3. Continue to cook this mixture in the saucepan until the sugar is dissolved and hot, then pour over the shredded cabbage.\n4. Toss. Refrigerate until chilled to blend flavors.\n ']",Salads,37,0 mg,0 g,9 g,1 g,7 g,0 g,17 mg,0 mg,2 mcg RAE,13 mg,0 mcg,15 mcg DFE
Somali Summer Salad,8 Servings,"['3 tablespoons olive oil', '1 tablespoon lemon juice', '3 apples', '2 green peppers', '3 tomatoes', '2 cucumbers', 'salt and pepper (optional)']","['1. In a large bowl, combine oil and lemon juice.\n2. Dice all the fruits and vegetables and then add to the bowl.\n3. Add salt and pepper to taste (optional).\n4. Serve chilled.\n5. Best served within 24 hours.']",Salads,92,0 mg,5 g,12 g,3 g,8 g,1 g,18 mg,0 mg,28 mcg RAE,35 mg,0 mcg,19 mcg DFE
South of the Border Salad,9 servings,"['3 cups corn, low sodium (drained and rinsed)', '2 cans black beans (15.5 ounces each, drained and rinsed)', '1 can diced tomatoes with green chilies (10 ounces)', '1 onion (medium, chopped)']","['Wash hands with soap and water.', 'Mix the salad ingredients in a large bowl.', 'Mix the dressing ingredients in a small bowl.', 'Pour dressing over corn mixture and mix well.', 'Cover and refrigerate for at least 2 hours.']",Salads,230,0 mg,6 g,38 g,10 g,4 g,10 g,66 mg,3 mg,13 mcg RAE,9 mg,0 mcg,103 mcg DFE
Spinach Black Bean Salad,3 servings,"['2 tablespoons vinegar', '1 tablespoon vegetable oil', '1 tablespoon dijon mustard', '1 teaspoon garlic powder', '1/2 teaspoon dried oregano', '1/2 teaspoon dried basil', '1/8 ground nutmeg (1/8 teaspoon, optional)', '2 cups spinach (washed)', '1 1/2 cups Black beans, low-sodium, canned, drained and rinsed', '2 tomatoes (chopped)', '1 red onion (small, chopped)']","['Wash hands with soap and water.', 'In a large bowl, combine vinegar, oil, mustard, garlic, oregano, basil and nutmeg.', 'Wash, drain and chop spinach.', 'Add spinach, black beans, tomatoes and onions to vinegar and oil. Toss well and serve.']",Salads,159,,5 g,21 g,8 g,4 g,7 g,73 mg,3 mg,128 mcg RAE,21 mg,,
Spinach Rice Salad,4 Servings,"['1/2 cup Italian dressing (reduced fat, unsalted)', '3 teaspoons soy sauce, reduced sodium', '1/2 teaspoon sugar', '3 cups cooked brown rice', '2/3 cup fresh spinach (washed and cut into thin strips)', '2/3 cup sliced celery', '1/2 cup thinly sliced green onion (including tops)', 'bacon bits (optional)']","['1. Combine dressing, soy sauce, and sugar. Stir into chilled rice.', '2. Cover and chill salad.', '3. Add celery, onion, and spinach before serving.', '4. Shake on bacon bits if desired.']",Salads,196,2 mg,3 g,37 g,3 g,3 g,5 g,39 mg,1 mg,34 mcg RAE,4 mg,0 mcg,32 mcg DFE
Spinach Salad with Apples and Eggs,4 Servings,"['4 large eggs', '2 apples', '8 cups fresh spinach', '1 cup dried figs (about 16 figs or one 7-oz pkg)', '1 cup whole-grain croutons', '1/2 cup light honey mustard or poppy seed dressing']","['To hard boil-eggs: Place eggs in saucepan large enough to hold them in a single layer. Add cold water to cover eggs by 1 inch. Heat over high heat just to boiling. Remove from heat and cover. Let eggs stand in hot water about 12 minutes. Drain and fill pan with cold water; let sit 10-15 minutes. Peel and slice. (If making ahead, refrigerate cooked unpeeled eggs)', 'Prepare other ingredients while eggs are cooking and cooling.', 'Wash, slice, and core apples.', 'Cut apples and dried figs into bite-sized chunks.', 'Wash and drain spinach.', 'To plate, divide ingredients evenly among four plates, top spinach with apples, eggs, dried figs, and croutons. Drizzle with dressing']",Salads,360,185 mg,11 g,59 g,10 g,33 g,9 g,150 mg,4 mg,358 mcg RAE,12 mg,1 mcg,161 mcg DFE
Spinach Salad with Apples and Raisins,6 Servings,"['2/3 package baby spinach (10 ounces, washed. Could also use Kale or other greens)', '1 1/2 apples (chopped, can use 1-2 apples)', '1 cup raisins', '1/4 cup canola oil', '1/4 cup apple cider vinegar', '1/4 cup sugar', '1/16 teaspoon garlic powder (pinch)']","['1. Combine spinach, apples and raisins.\n2. Mix all dressing ingredients and pour over salad just prior to serving.\n ']",Salads,212,0 mg,9 g,33 g,2 g,26 g,2 g,46 mg,1 mg,149 mcg RAE,11 mg,0 mcg,63 mcg DFE
Splendid Fruit Salad,4 Servings,"['2 apples, medium (chopped)', '1 banana (chopped)', '3/4 container yogurt, low-fat vanilla (6 ounces)', '1/4 teaspoon cinnamon', '1/16 cup orange juice (1 Tablespoon)']","['1. Mix yogurt, cinnamon, and orange juice in a medium bowl.\n2. Wash and chop the fruit and add to the yogurt mixture.\n3. Stir and serve.']",Salads,101,2 mg,1 g,23 g,3 g,17 g,3 g,80 mg,0 mg,8 mcg RAE,7 mg,0 mcg,13 mcg DFE
Summer Fruit Salad,4 servings,"['1 cup strawberries (diced, fresh or frozen)', '1 cup watermelon (cubed)', '1 cup pineapple chunks, fresh or canned packed in natural juice (and do not drain)']","['Stir fruit together in a medium sized bowl.', 'Cover and chill. Serve as soon as possible.']",Salads,45,0 mg,0 g,11 g,2 g,8 g,1 g,15 mg,0 mg,12 mcg RAE,47 mg,0 mcg,19 mcg DFE
Summer Salad,8 servings,"['2 cups salad greens', '6 green onions (thinly sliced, with tops)', '6 mushrooms (large, fresh, thinly sliced)', '1/4 cup walnuts (coarsely chopped)', '3/4 cup parsley (fresh, finely chopped)', '3/4 cup Tangy Dressing']","['1. Wash and dry greens. Tear into bite-sized pieces and place in large salad bowl.\n2. Add onion, mushrooms, walnuts and parsley. Just before serving, toss with dressing.\n ']",Salads,37,0 mg,3 g,3 g,1 g,1 g,2 g,29 mg,1 mg,69 mcg RAE,12 mg,0 mcg,38 mcg DFE
Sunshine Salad,5 servings,"['5 cups spinach leaves (packed, washed, and dried well)', '1/2 red onion (sliced thin)', '1/2 red pepper (sliced)', '1 cucumber (whole, sliced)', '2 orange (peeled and chopped into bite-size pieces)', '1/3 cup vinaigrette dressing (""lite"", around 15 calories per tablespoon or less)']","['Wash hands with soap and water.', 'Toss all ingredients together in a large bowl. Add dressing and toss again.', 'Serve immediately.']",Salads,82,0 mg,4 g,12 g,3 g,8 g,2 g,62 mg,1 mg,167 mcg RAE,54 mg,0 mcg,87 mcg DFE
Taco Salad,6 servings,"['3 cups lettuce (Use butterhead or any other head of lettuce, torn into small pieces)', '2 tomatoes (chopped, fresh)', '1/2 cup green pepper (chopped)', '16 ounces ground turkey or ground beef', '1 onion (small, chopped)', '1 can pinto beans (15 1/2 ounce, drained)', '3/4 cup salsa (or taco sauce)']","['Wash hands with soap and water.', 'Put lettuce in large bowl. Add tomatoes and green pepper.', 'Brown meat and onion in fry pan. Drain off fat and liquid.', 'Mix meat, beans and salsa. Add to salad mixture.', 'Serve with additional salsa. Refrigerate leftovers.']",Salads,249,69 mg,8 g,19 g,6 g,3 g,26 g,67 mg,3 mg,90 mcg RAE,22 mg,0 mcg,128 mcg DFE
Taco Salad II,4 servings,"['1/4 pound lean ground beef', '1 1/2 cumin, ground (1 1/2 teaspoons, optional)', '1 tablespoon chili powder', '1 cup kidney or pinto beans (cooked)', '1/2 head of lettuce (torn)', '1 onion (small, diced)', '2 tomatoes (large, cut up)', '1/2 cup cheddar cheese (shredded)', '2 cups light tortilla chips (broken)', '1/2 cup yogurt, non-fat', '1/2 cup salsa, chunky']","['1. Prepare dressing in mixing yogurt and salsa, then set aside.', '2. Brown ground beef and drain any fat; add beans, cumin and chili powder and heat through.', '3. Toss lettuce, tomatoes, onion and cheese in large bowl.', '4. Spoon on meat and bean mixture and top with broken tortilla chips.', '5. Offer dressing on the side.', '6. Refrigerate leftovers within two hours.']",Salads,366,34 mg,13 g,46 g,8 g,9 g,20 g,269 mg,4 mg,131 mcg RAE,17 mg,0 mcg,107 mcg DFE
Tangy Crisp Vegetable and Pasta Salad,6 servings,"['1/2 cup pasta, uncooked (such as bowties, shells, macaroni, etc)', '1/4 cup vinegar', '1 tablespoon sugar', '1/2 teaspoon garlic powder', '1/8 teaspoon ground black pepper', '1/2 cucumber (medium, peeled, seeded, and coarsely chopped)', '1/2 carrot (medium, thinly sliced)', '1/2 red pepper (sliced, could use green or yellow)', '1/2 cup broccoli florets (coarsely chopped)', '2 tablespoons onion, green or red (sliced)', '1 tablespoon dried parsley (can use fresh if available)']","['1. Wash your hands with soap and water.', '2. Cook pasta according to package directions but do not add salt to cooking water. Drain, rinse with cool water, and drain again.', '3. In a small saucepan, combine vinegar, sugar, salt, garlic powder and black pepper. Stir and heat over medium heat until sugar is dissolved, but do not boil. Let cool.', '4. Rinse, drain, and chop remaining ingredients. Combine in a shallow container, such as an 8x8 inch pan.', '5. Add cooked pasta, and vinegar mixture. Mix gently.', '6. Cover and refrigerate overnight to allow flavors to blend.', '7. Top with parsley and serve cold.', '8. Cover and refrigerate leftovers within 2 hours.']",Salads,73,0 mg,0 g,15 g,2 g,5 g,2 g,22 mg,1 mg,47 mcg RAE,17 mg,0 mcg,44 mcg DFE
Three Bean Salad,6 servings,"['1 cup kidney beans, cooked (see <a href=""/node/1061"">recipe</a>)', '1 cup green beans (cut, canned or cooked)', '2 cups yellow wax beans (canned or cooked)', '1 green pepper (diced)', '2/3 cup onion (thinly sliced)', '1/2 cup celery (thinly sliced)', '2 garlic (cloves, whole)', '1/2 cup wine vinegar', '1/4 cup oil', '1/4 cup sugar', '1/4 teaspoon oregano', '1 teaspoon salt', '1/4 teaspoon pepper']","['1. Mix beans, vegetables and garlic cloves in a large bowl.', '2. Mix vinegar, oil, and sugar in a saucepan. Heat until sugar dissolves. Cool slightly.', '3. Stir seasonings into vinegar mixture. Pour over vegetables. Toss lightly. Chill overnight.', '4. Remove garlic before serving.']",Salads,187,0 mg,9 g,23 g,5 g,12 g,4 g,47 mg,2 mg,13 mcg RAE,32 mg,0 mcg,68 mcg DFE
Tofu Salad,4 servings,"['3/4 pound tofu (firm)', '2 tablespoons mayonnaise, reduced calorie', '3 teaspoons brown mustard', '1/2 teaspoon soy sauce, low-sodium', '1/2 cup celery (diced)', '1 tablespoon onion (diced)', '1/2 green pepper (seeded and diced)', '1 tablespoon parsley (minced)']","['1. Prepare tofu by draining the water from the package and placing tofu between two plates. Put a heavy object on top and let stand for 10 to 15 minutes. Drain the water that collects on the bottom plate every few minutes.', '2. In a small bowl, mix the mayonnaise, mustard and soy sauce.', '3. In a medium bowl, combine the diced tofu, celery, onion, pepper, and parley; stir in the mayonnaise mixture and toss gently to coat.', '4. Refrigerate covered until the flavors are blended - at least one hour.', '5. Use as a sandwich filling or on top of whole grain crackers.']",Salads,88,1 mg,5 g,4 g,2 g,2 g,7 g,181 mg,2 mg,11 mcg RAE,19 mg,0 mcg,25 mcg DFE
Tomato and Cucumber Salad,12 Servings,[],"['1. In a large bowl, combine the salad ingredients.', '2. In a small bowl, mix the dressing ingredients together.', '3. Pour the dressing over the salad. Mix well.', '4. Refrigerate for at least 1 hour before serving.']",Salads,35,0 mg,1 g,5 g,1 g,3 g,1 g,18 mg,0 mg,36 mcg RAE,22 mg,0 mcg,19 mcg DFE
Tomato Basil and Bean Pasta Salad,12 servings,"['1 pound ziti pasta (or bow tie pasta)', '2 tablespoons vegetable oil', '1/4 cup vinegar', '2 teaspoons Dijon mustard', '1/4 teaspoon ground black pepper', '1 cup fresh basil leaves (chopped)', '3 tomatoes (large, coarsely chopped)', '1 cup kidney beans (cooked or canned drained, or try garbanzo beans or black beans)', '1 mozzarella cheese (1 cup, or provolone cheese, cubed or shredded, optional)', '1 walnuts (1/2 cup chopped, optional)']","['Cook pasta according to package directions. Drain and cool.', 'In a small mixing bowl, whisk together vegetable oil, vinegar, Dijon-style mustard and pepper to make vinaigrette.', 'In a large mixing bowl, combine pasta, beans, basil and tomatoes. Pour vinaigrette over top and toss together. Cover and chill at least 1 hour.', 'If desired, add nuts and cheese just before serving, tossing again to combine.']",Salads,212,,3 g,37 g,4 g,2 g,8 g,23 mg,2 mg,28 mcg RAE,7 mg,,
Tuna Apple Salad,4 servings,"['1 can tuna, packed in water (12 ounces)', '2 tablespoons red onion (minced)', '1 apple (cored and chopped)', '1 cup celery (chopped)', '1 cup golden raisins', '5 tablespoons Italian dressing, light', '2 cups salad greens', '2 Pita bread, whole wheat (cut in half)']","['1. In a small bowl, stir together tuna, onion, apple, celery, raisins, and 2 Tablespoons of dressing.', '2. In another bowl, toss together salad greens with remaining dressing.', '3. Carefully open pita breads and fill with equal amounts of greens and tuna salad.']",Salads,276,30 mg,2 g,49 g,5 g,28 g,20 g,67 mg,3 mg,99 mcg RAE,6 mg,1 mcg,56 mcg DFE
Tuna Apple Salad Sandwich,4 Servings,"['1 apple (such as Fuji or Pink Lady Washington)', '1 can 12-oz chunk light tuna (drained)', '2 tablespoons low-fat plain yogurt', '2 tablespoons reduced-fat mayonnaise', '1/2 cup raisins (or chopped figs)', '1/4 cup chopped walnuts', '1/8 teaspoon ground black pepper', '2 tablespoons chopped fresh parsley (optional)', '1/2 teaspoon curry powder (optional)', '8 leaves lettuce (Bibb, Romaine, green, or red leaf)', '8 slices whole-grain bread']","['Cut apple in quarters; remove core and chop.', 'In a medium size bowl, mix all salad ingredients, except tuna.', 'Gently fold in tuna.', 'Make sandwiches,using lettuce and whole-grain bread (toasted, if desired), and fill with tuna apple salad.']",Salads,380,25 mg,10 g,48 g,7 g,9 g,27 g,100 mg,4 mg,49 mcg RAE,4 mg,4 mcg,56 mcg DFE
Tuna Salad II,7 Servings,"['2 cans tuna, drained (5 ounces each)', '1 cup celery, chopped', '1/8 cup mayonnaise', '1/8 cup yogurt, low-fat plain', '1 cup grapes, seedless (cut in half)', '7 lettuce leaves, washed and separated']","['1. In a medium-sized bowl, combine drained tuna, celery, mayonnaise and yogurt and stir.\n2. Add grapes to mixture and stir gently.\n3. Cover and chill until ready to serve.\n4. Serve over lettuce leaves.']",Salads,89,19 mg,4 g,5 g,1 g,4 g,10 g,27 mg,1 mg,26 mcg RAE,1 mg,1 mcg,14 mcg DFE
Turkey Potato Salad,2 Servings,"['6 ounces turkey, cooked and diced', '1/4 cup celery, chopped', '1 cup potato (cooked, peeled, and diced)', '1 tablespoon onion, chopped', '1/4 cup green pepper, chopped (2 Tablespoons)', '2 tablespoons salad dressing, mayonnaise-type', '1/4 teaspoon prepared mustard', '1/8 teaspoon salt']","['1. Mix turkey, celery, potato, onion, and green pepper.\n2. Mix salad dressing, mustard and salt. Stir lightly into turkey mixture.\n3. Chill.']",Salads,243,68 mg,8 g,15 g,2 g,2 g,26 g,29 mg,1 mg,9 mcg RAE,23 mg,0 mcg,27 mcg DFE
Turkey Salad with Orange Vinaigrette,4 servings,"['1/4 cup orange juice', '2 tablespoons vinegar, white wine', '2 tablespoons onion (finely chopped)', '1/4 teaspoon salt', '1 dash pepper', '1 tablespoon oil', '2 teaspoons Dijon mustard', '4 cups salad greens (torn)', '2 cups cooked turkey breast (cut into julienne strips)', '1 cup mandarin orange sections (drained)', '1/2 cup celery (sliced)']","[""1. In a jar with tight-fitting lid, combine all vinaigrette ingredients; shake well. If you don't have a container with a tight-fitting lid, place ingredients in a small mixing bowl and mix together with a whisk."", '2. In large bowl, combine all salad ingredients; toss gently.', '3. Serve with vinaigrette. If desired, garnish with fresh strawberries.']",Salads,172,,5 g,10 g,2 g,7 g,21 g,49 mg,1 mg,203 mcg RAE,35 mg,,
